ground_truth\prediction,background,building,road,water,barren,forest,agricultural
background,0.797864438613,0.0359969255589,0.0188497848752,0.0370012365139,0.0167865933386,0.0662229416269,0.027278079474
building,0.235940160183,0.738110615647,0.00479492860398,0.00381296351082,0.00281296180894,0.00732096583295,0.00720740441304
road,0.299251430761,0.00498235342158,0.639888981725,0.0058063587991,0.0144908500386,0.0290737211099,0.00650630414434
water,0.19729422203,0.000413328169107,0.00164345136693,0.752668661765,0.00720390706686,0.0205400854815,0.0202363441207
barren,0.382026688766,0.00256513798632,0.00648130806752,0.0249630248836,0.456107193011,0.00510752888024,0.122749118406
forest,0.328780537985,0.000820096878536,0.00369781958771,0.0100236716529,0.00369916496151,0.589283085092,0.0636956238421
agricultural,0.333810006663,0.00150086627383,0.00411342671742,0.0217637989534,0.0183174519714,0.0333800870637,0.587114362357
