domain,images,valid_pixels,ignored_pixels,miou,pixel_accuracy,mean_dice_f1
overall,1669,1704296271,45777073,0.5132479911226604,0.69036795480966,0.6723853119001261
Urban,677,682354901,27531051,0.565389454316455,0.7065426133723922,0.7173490580882124
Rural,992,1021941370,18246022,0.4383501887865564,0.6795680617176698,0.5945892520129413
