domain,class_id,class_name,iou,dice_f1,precision,recall,support_pixels
overall,0,background,0.5223720679021295,0.686260709738287,0.6020474772967347,0.7978644386126824,615250682
overall,1,building,0.6189145367585294,0.764604335442871,0.7930707942020919,0.7381106156467817,122805791
overall,2,road,0.5357862693404254,0.6977354597271268,0.7670801186894457,0.6398889817252059,79590500
overall,3,water,0.6338444728861362,0.7758932792011339,0.8005967841802437,0.7526686617645804,199567816
overall,4,barren,0.34963585517715673,0.5181188004689793,0.5996456707234109,0.4561071930110822,74383133
overall,5,forest,0.3889603823540355,0.5600741206092839,0.5336240068077178,0.5892830850920985,125615647
overall,6,agricultural,0.5432223534402101,0.7040104781132001,0.8790272728413949,0.5871143623572984,487082702
Urban,0,background,0.4271737537786575,0.5986289372932352,0.5718913705233372,0.6279892408829174,177131635
Urban,1,building,0.6394088768011306,0.7800480842201691,0.7786501920079959,0.7814510046648414,85167955
Urban,2,road,0.5960925304930688,0.7469398159628282,0.7585091112438238,0.7357181439684091,52956965
Urban,3,water,0.7283988870170461,0.8428597038431932,0.8551422409447643,0.8309250025919911,80594412
Urban,4,barren,0.4701676394450228,0.6396109216803433,0.6708748988547703,0.6111311124309023,37172547
Urban,5,forest,0.49491228649601954,0.66212886330082,0.580828431188925,0.7698933185457267,74195464
Urban,6,agricultural,0.6015722061842399,0.7512270803168982,0.8438660898733307,0.6769157575970294,175135923
Rural,0,background,0.5588639138703068,0.7170143703984705,0.6114950389713008,0.8665450214950368,438119047
Rural,1,building,0.5685663877742742,0.7249503651306013,0.8358379260224502,0.6400387631212379,37637836
Rural,2,road,0.40304023214221607,0.5745241268339664,0.7963764977287565,0.4493464348611628,26633535
Rural,3,water,0.5739085551061438,0.7292781442025259,0.7615187463563586,0.6996566140109768,118973404
Rural,4,barren,0.230092333898353,0.37410579280525197,0.49346447093245976,0.30124174878621907,37210586
Rural,5,forest,0.22567001147472326,0.3682394271900275,0.4186307946655696,0.32867607647370684,51420183
Rural,6,agricultural,0.5083098872398777,0.6740125375297462,0.9057511081130456,0.536697267837473,311946779
