ground_truth\prediction,background,building,road,water,barren,forest,agricultural
background,490886640,22147133,11597343,22765036,10327963,40743710,16782857
building,28974818,90644258,588845,468254,345448,899057,885111
road,23817571,396548,50929084,462131,1153334,2313992,517840
water,39373577,82487,327980,150208441,1437668,4099140,4038523
barren,28416342,190803,482100,1856828,33926682,379914,9130464
forest,41299980,103017,464504,1259130,464673,74023176,8001167
agricultural,162593080,731046,2003579,10600770,8922114,16258863,285973250
