domain,images,valid_pixels,ignored_pixels,miou,pixel_accuracy,mean_dice_f1
overall,1669,1704296271,45777073,0.5079506779414996,0.6914869292699403,0.6681926236930096
Urban,677,682354901,27531051,0.5450019198440863,0.690291612633995,0.7020658208289967
Rural,992,1021941370,18246022,0.4353598358568975,0.692285047624601,0.5872844322521061
