epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4853.92,1.06277,0.69512,0.98412,0.89291,0.78423,0.85543,0.63551,0.95001,0.55813,0.9292,0.005842,0.005842,0.005842
44,4965.84,1.06272,0.70271,0.98543,0.88385,0.79201,0.85674,0.63737,0.94889,0.55702,0.92904,0.005743,0.005743,0.005743
45,5079.52,1.05982,0.69634,0.98441,0.8998,0.78338,0.85738,0.63919,0.94748,0.55491,0.92804,0.005644,0.005644,0.005644
46,5191.67,1.06079,0.69609,0.97892,0.89899,0.78429,0.85781,0.64123,0.94578,0.55284,0.9272,0.005545,0.005545,0.005545
47,5293.85,1.04997,0.68882,0.98212,0.89888,0.78679,0.85879,0.64098,0.94447,0.55195,0.92671,0.005446,0.005446,0.005446
48,5406.37,1.04874,0.68853,0.9811,0.89644,0.78869,0.85853,0.64145,0.94393,0.55095,0.92654,0.005347,0.005347,0.005347
49,5518.49,1.04732,0.68516,0.97935,0.89416,0.78912,0.85842,0.64166,0.94345,0.5504,0.92601,0.005248,0.005248,0.005248
50,5630.79,1.04638,0.67954,0.97736,0.89202,0.78779,0.85821,0.64156,0.94328,0.54916,0.92582,0.005149,0.005149,0.005149
51,5744.43,1.04105,0.67593,0.97729,0.89436,0.78593,0.85859,0.64136,0.94262,0.54884,0.9255,0.00505,0.00505,0.00505
52,5853.11,1.04135,0.67664,0.97698,0.89019,0.79053,0.8591,0.64174,0.9421,0.5484,0.92538,0.004951,0.004951,0.004951
53,5965.15,1.04596,0.67692,0.97478,0.8857,0.79426,0.85935,0.6422,0.94102,0.54765,0.92504,0.004852,0.004852,0.004852
54,6077.77,1.04176,0.67144,0.9736,0.88825,0.79248,0.85968,0.64367,0.94051,0.54731,0.92486,0.004753,0.004753,0.004753
55,6190.51,1.03538,0.66522,0.97411,0.88779,0.79451,0.86041,0.64408,0.94002,0.54595,0.92464,0.004654,0.004654,0.004654
56,6300.73,1.03511,0.66873,0.97342,0.8883,0.79397,0.86183,0.64438,0.93977,0.54533,0.92447,0.004555,0.004555,0.004555
57,6402.62,1.03868,0.66323,0.97294,0.88673,0.795,0.86206,0.64415,0.9393,0.54434,0.92414,0.004456,0.004456,0.004456
58,6509.5,1.03334,0.66246,0.97157,0.88547,0.79869,0.86314,0.64429,0.93884,0.54369,0.92399,0.004357,0.004357,0.004357
59,6614.88,1.02379,0.65498,0.97164,0.88328,0.80071,0.86291,0.645,0.93867,0.5428,0.92387,0.004258,0.004258,0.004258
60,6723.57,1.03098,0.6586,0.97185,0.88476,0.80102,0.86373,0.6453,0.93832,0.5422,0.92378,0.004159,0.004159,0.004159
61,6835.17,1.02882,0.65657,0.96962,0.88727,0.80191,0.86459,0.64614,0.93798,0.5415,0.92376,0.00406,0.00406,0.00406
62,6947.12,1.02642,0.65308,0.96865,0.88731,0.80173,0.86481,0.6469,0.93762,0.54087,0.92357,0.003961,0.003961,0.003961
63,7058.22,1.02401,0.64845,0.96735,0.88797,0.80164,0.86511,0.64707,0.93703,0.54031,0.92349,0.003862,0.003862,0.003862
64,7170.48,1.01704,0.64449,0.96597,0.8888,0.80076,0.86518,0.64741,0.93673,0.53958,0.92343,0.003763,0.003763,0.003763
65,7282.75,1.01855,0.64257,0.96639,0.89037,0.80019,0.8651,0.64792,0.93634,0.53905,0.92333,0.003664,0.003664,0.003664
66,7392.53,1.01617,0.6437,0.96559,0.89326,0.79996,0.86556,0.6484,0.93584,0.53871,0.92307,0.003565,0.003565,0.003565
67,7504.45,1.01395,0.64014,0.96432,0.8931,0.7999,0.86571,0.64868,0.93558,0.538,0.92296,0.003466,0.003466,0.003466
68,7608.05,1.01238,0.63519,0.96432,0.89175,0.80005,0.86588,0.64854,0.93541,0.53728,0.92285,0.003367,0.003367,0.003367
69,7720.68,1.01175,0.63332,0.96053,0.89273,0.79968,0.86599,0.64883,0.93508,0.53671,0.92264,0.003268,0.003268,0.003268
70,7833.3,1.00992,0.63185,0.96145,0.88942,0.80114,0.86623,0.64856,0.93495,0.53604,0.92256,0.003169,0.003169,0.003169
71,7945.86,1.00232,0.62714,0.9614,0.89054,0.8008,0.86626,0.64894,0.93465,0.5357,0.92242,0.00307,0.00307,0.00307
72,8058.19,1.00284,0.62699,0.9609,0.88945,0.801,0.86617,0.64871,0.93445,0.53537,0.92232,0.002971,0.002971,0.002971
73,8166.9,1.0025,0.62375,0.9607,0.88756,0.80305,0.86643,0.64895,0.9341,0.53475,0.92217,0.002872,0.002872,0.002872
74,8276.92,1.00468,0.62155,0.95805,0.88883,0.80287,0.86682,0.64955,0.93423,0.53409,0.92219,0.002773,0.002773,0.002773
75,8389.05,0.99598,0.61924,0.95748,0.88826,0.80407,0.86711,0.64965,0.93411,0.53377,0.92217,0.002674,0.002674,0.002674
76,8495.47,0.99657,0.61788,0.95853,0.88906,0.80531,0.86753,0.64937,0.93397,0.53334,0.92211,0.002575,0.002575,0.002575
77,8607.6,0.9929,0.61352,0.95488,0.88985,0.80536,0.86806,0.64983,0.93373,0.53283,0.92191,0.002476,0.002476,0.002476
78,8720.62,0.9918,0.61192,0.95317,0.88885,0.80557,0.86826,0.6497,0.9333,0.53224,0.92171,0.002377,0.002377,0.002377
79,8833.26,0.98747,0.60623,0.95294,0.89087,0.80584,0.8678,0.64998,0.93301,0.53185,0.92153,0.002278,0.002278,0.002278
80,8944.66,0.9863,0.60608,0.95349,0.89118,0.80569,0.868,0.65075,0.93262,0.53148,0.92131,0.002179,0.002179,0.002179
81,9056.4,0.98175,0.60164,0.95315,0.89105,0.80567,0.86799,0.6512,0.93233,0.53107,0.92125,0.00208,0.00208,0.00208
82,9168.52,0.98242,0.5975,0.95174,0.89661,0.80217,0.86795,0.65125,0.93195,0.53045,0.9211,0.001981,0.001981,0.001981
83,9279.96,0.98133,0.59738,0.94828,0.88997,0.8085,0.86846,0.65153,0.93162,0.52998,0.921,0.001882,0.001882,0.001882
84,9391.02,0.9785,0.59473,0.94859,0.89018,0.80853,0.86858,0.65159,0.93149,0.52933,0.9209,0.001783,0.001783,0.001783
85,9499.13,0.97586,0.59146,0.94666,0.89014,0.80956,0.86884,0.65187,0.93133,0.52882,0.92084,0.001684,0.001684,0.001684
86,9611.65,0.97352,0.58998,0.94797,0.89427,0.80784,0.86897,0.65196,0.93109,0.52831,0.9208,0.001585,0.001585,0.001585
87,9723.52,0.97224,0.58824,0.94808,0.89496,0.80845,0.86936,0.65231,0.93105,0.52798,0.92072,0.001486,0.001486,0.001486
88,9828.68,0.96845,0.58576,0.94602,0.89468,0.8084,0.86954,0.65233,0.93075,0.52744,0.92054,0.001387,0.001387,0.001387
89,9935.97,0.96707,0.58294,0.94599,0.89232,0.81073,0.86987,0.65254,0.9305,0.5267,0.92046,0.001288,0.001288,0.001288
90,10043.7,0.95825,0.57658,0.94216,0.89112,0.81026,0.86964,0.65287,0.93029,0.52641,0.92022,0.001189,0.001189,0.001189
91,10153.3,0.91749,0.52951,0.92463,0.88682,0.81358,0.86989,0.65316,0.93003,0.52619,0.9201,0.00109,0.00109,0.00109
92,10266.1,0.91434,0.52075,0.92244,0.8992,0.80348,0.86941,0.65321,0.92989,0.52557,0.92005,0.000991,0.000991,0.000991
93,10379.5,0.90773,0.51276,0.91975,0.90023,0.80366,0.86961,0.65349,0.92972,0.52508,0.92003,0.000892,0.000892,0.000892
94,10490.6,0.90423,0.51271,0.92012,0.90194,0.80299,0.87013,0.65377,0.92945,0.52457,0.91996,0.000793,0.000793,0.000793
95,10602,0.90157,0.50594,0.91682,0.90181,0.80518,0.87067,0.65405,0.92917,0.52419,0.91994,0.000694,0.000694,0.000694
96,10714.3,0.90115,0.50286,0.91566,0.90398,0.80516,0.87072,0.65437,0.92897,0.52357,0.9199,0.000595,0.000595,0.000595
97,10827.2,0.89491,0.50117,0.91544,0.90003,0.80879,0.8708,0.65408,0.9288,0.52315,0.91983,0.000496,0.000496,0.000496
98,10938.5,0.89224,0.49662,0.91498,0.90021,0.80921,0.8712,0.65438,0.92858,0.52283,0.91982,0.000397,0.000397,0.000397
99,11048.4,0.8904,0.49364,0.91394,0.89988,0.80972,0.87132,0.65422,0.92834,0.52244,0.91976,0.000298,0.000298,0.000298
100,11158.7,0.88804,0.49146,0.91211,0.89897,0.80983,0.87109,0.65412,0.9284,0.52239,0.91973,0.000199,0.000199,0.000199
